sector_cd,PRODUCT,ProductCode,sector_cd_new
MMETA,"Custom work manufacturing services (except printing, finishing textiles and metals) (x 1,000)",MPS3X0000,MMETAO
MMETA,"Head office services (imputed) (x 1,000)",IMS551002,MMETAO
MMETA,"Management, scientific and technical consulting services (x 1,000)",MPS541600,MMETAO
MMETA,"Office administrative services (x 1,000)",MPS561100,MMETAO
MMETA,"Other industry-specific machinery (x 1,000)",MPG333200,MMETAO
MMETA,"Own-account research and development (except software development) (x 1,000)",IMS541702,MMETAO
MMETA,"Prefabricated metal buildings and components (x 1,000)",MPG332301,MMETAO
MMETA,"Repair and maintenance services (except for buildings and motor vehicles) (x 1,000)",MPS811A00,MMETAO
MMETA,"Unwrought aluminum including alloys (x 1,000)",MPG331302,MMETAP
MMETA,"Waste and scrap of non-ferrous metals (x 1,000)",MPG331X02,MMETAO
MMETA,"Wholesale margins - miscellaneous products (x 1,000)",MPS418000,MMETAO
MMETA,"Builders, motor vehicle and other hardware (x 1,000)",MPG332500,MMETAO
MMETA,"Business support services (x 1,000)",MPS561400,MMETAO
MMETA,"Electricity (x 1,000)",ENE221100,MMETAO
MMETA,"Other unwrought non-ferrous metals including alloys (x 1,000)",MPG331404,MMETAO
MMETA,"Own-account software design and development services (x 1,000)",IMS541502,MMETAO
MMETA,"Plastic and foam building and construction materials (x 1,000)",MPG326103,MMETAO
MMETA,"Boilers, tanks and heavy gauge metal containers (x 1,000)",MPG332402,MMETAO
MMETA,"Commercial and service industry machinery (x 1,000)",MPG333300,MMETAO
MMETA,"Fabricated steel plates and other fabricated structural metal (x 1,000)",MPG332302,MMETAO
MMETA,"Threaded metal fasteners and other turned metal products including automotive (x 1,000)",MPG332700,MMETAO
MMETA,"Bauxite and aluminum oxide (x 1,000)",MPG331301,MMETAP
MMETA,"Commercial and industrial machinery and equipment (except office equipment) rental and leasing services (x 1,000)",MPS532A03,MMETAO
MMETA,"Licensing of rights to non-financial produced intangible assets (except software and other copyright licensing) (x 1,000)",MPS533000,MMETAO
MMETA,"Motor vehicle rental and leasing services (x 1,000)",MPS532100,MMETAO
